"id","nama_toko","id_toko","alamat","kontak","titik_lokasi","",""
"1319","Outlet Dungusiku","1319075","Dungusiku, Jawa Barat","075","-7.1077,107.9323","",""
"1320","Outlet Parabon","13200786","Parabon, Jawa Barat","0786","-7.5351,107.9207","",""
"1321","Outlet Bakom","13210522","Bakom, Jawa Barat","0522","-7.0319,107.9978","",""
"1322","Outlet Jembatandua","13220515","Jembatandua, Jawa Barat","0515","-7.1361,107.9879","",""
"1323","Outlet Suci Kaler","13230078","Suci Kaler, Jawa Barat","0078","-7.2157,107.9226","",""
"1324","Outlet Cisero","13240616","Cisero, Jawa Barat","0616","-7.3207,107.7938","",""
"1325","Outlet Cicayur","13250096","Cicayur, Jawa Barat","0096","-7.2864,107.8196","",""
"1326","Outlet Tegalsari","13260643","Tegalsari, Jawa Barat","0643","-7.2955,107.8313","",""
"1327","Outlet Babakan","13270119","Babakan, Jawa Barat","0119","-7.6361,107.7116","",""
"1328","Outlet Mawar","13280104","Mawar, Jawa Barat","0104","-7.2124,107.905","",""
"1329","Outlet Bangbayang","13290831","Bangbayang, Jawa Barat","0831","-7.4524,107.7259","",""
"1330","Outlet Bangbayang","13300148","Bangbayang, Jawa Barat","0148","-7.2641,107.8623","",""
"1331","Outlet Tarogong","13310094","Tarogong, Jawa Barat","0094","-7.1902,107.8874","",""
"1332","Outlet Sukajadi","13320151","Sukajadi, Jawa Barat","0151","-7.4035,107.5368","",""
"1333","Outlet Citangtu Kaler","13330106","Citangtu Kaler, Jawa Barat","0106","-7.1675,107.989","",""
"1334","Outlet Talegong Dua","1334039","Talegong Dua, Jawa Barat","039","-7.2997,107.5119","",""
"1335","Outlet Babgot","13350741","Babgot, Jawa Barat","0741","-7.1425,108.0095","",""
"1336","Outlet Cigadog","13360954","Cigadog, Jawa Barat","0954","-7.5086,107.8675","",""
"1337","Outlet Cigadog","13370209","Cigadog, Jawa Barat","0209","-7.0482,108.045","",""
"1338","Outlet Karangpawitan","1338074","Karangpawitan, Jawa Barat","074","-7.2061,107.9456","",""
"1339","Outlet Tagog","13390397","Tagog, Jawa Barat","0397","-7.1206,107.9931","",""
"1340","Outlet Hanjuang","13400166","Hanjuang, Jawa Barat","0166","-7.4648,107.5953","",""
"1341","Outlet Cireundang","13410093","Cireundang, Jawa Barat","0093","-7.2002,107.8782","",""
"1342","Outlet Selaawi","13420841","Selaawi, Jawa Barat","0841","-7.5495,107.8128","",""
"1343","Outlet Selaawi","13430242","Selaawi, Jawa Barat","0242","-7.3195,107.4785","",""
"1344","Outlet Babakanloa","13440562","Babakanloa, Jawa Barat","0562","-7.1609,107.9968","",""
"1345","Outlet Babakanloa","13450698","Babakanloa, Jawa Barat","0698","-7.1968,107.8859","",""
"1346","Outlet Babakanloa","13460988","Babakanloa, Jawa Barat","0988","-7.1361,107.9481","",""
"1347","Outlet Pangatikan","13470328","Pangatikan, Jawa Barat","0328","-7.1549,107.9883","",""
"1348","Outlet Pasanggrahan","13480412","Pasanggrahan, Jawa Barat","0412","-7.2642,107.9118","",""
"1349","Outlet Pasanggrahan","13490602","Pasanggrahan, Jawa Barat","0602","-7.1632,108.0084","",""
"1350","Outlet Pasanggrahan","13500597","Pasanggrahan, Jawa Barat","0597","-7.4991,107.8601","",""
"1351","Outlet Cidarengdeng","13510425","Cidarengdeng, Jawa Barat","0425","-7.26,107.7864","",""
"1352","Outlet Rahayu","13520178","Rahayu, Jawa Barat","0178","-7.4594,107.644","",""
"1353","Outlet Cibolang","13530395","Cibolang, Jawa Barat","0395","-7.4378,107.6014","",""
"1354","Outlet Cibolang","13540081","Cibolang, Jawa Barat","0081","-7.0927,107.9333","",""
"1355","Outlet Cinyumput","13550602","Cinyumput, Jawa Barat","0602","-7.3837,107.5096","",""
"1356","Outlet Sindanglaya","13560074","Sindanglaya, Jawa Barat","0074","-7.1989,107.9471","",""
"1357","Outlet Sindangratu","13570808","Sindangratu, Jawa Barat","0808","-7.4651,107.6718","",""
"1358","Outlet Nagara Tengah","13580541","Nagara Tengah, Jawa Barat","0541","-7.1934,107.8836","",""
"1359","Outlet Cikulahan","13590379","Cikulahan, Jawa Barat","0379","-7.1569,108.0375","",""
"1360","Outlet Citambal","13600815","Citambal, Jawa Barat","0815","-7.0884,107.9947","",""
"1361","Outlet Cikembulan","13610761","Cikembulan, Jawa Barat","0761","-7.0841,107.9132","",""
"1362","Outlet Cijaringao","13620702","Cijaringao, Jawa Barat","0702","-7.5311,107.5392","",""
"1363","Outlet Cimaung Kidul","13630386","Cimaung Kidul, Jawa Barat","0386","-7.2609,107.8979","",""
"1364","Outlet Amerta","13640858","Amerta, Jawa Barat","0858","-7.277,107.774","",""
"1365","Outlet Bokor","1365021","Bokor, Jawa Barat","021","-7.5248,107.6126","",""
"1366","Outlet Bunisari","13660352","Bunisari, Jawa Barat","0352","-7.6475,107.7123","",""
"1367","Outlet Bunisari","1367084","Bunisari, Jawa Barat","084","-7.0724,107.9614","",""
"1368","Outlet Talagasari","13680187","Talagasari, Jawa Barat","0187","-7.4205,107.9231","",""
"1369","Outlet Cogreg Wetan","13690489","Cogreg Wetan, Jawa Barat","0489","-7.2187,107.9367","",""
"1370","Outlet Halteu","13700839","Halteu, Jawa Barat","0839","-7.0836,107.8991","",""
"1371","Outlet Andir","13710662","Andir, Jawa Barat","0662","-7.1548,107.9011","",""
"1372","Outlet Haruman","13720781","Haruman, Jawa Barat","0781","-7.072,107.9265","",""
"1373","Outlet Peer","13730749","Peer, Jawa Barat","0749","-7.2028,107.9765","",""
"1374","Outlet Pidayeuheun","13740118","Pidayeuheun, Jawa Barat","0118","-7.1948,107.9597","",""
"1375","Outlet Cilolohan","13750635","Cilolohan, Jawa Barat","0635","-7.181,107.9127","",""
"1376","Outlet Nangkasari","13760673","Nangkasari, Jawa Barat","0673","-7.0984,107.8827","",""
"1377","Outlet Talagajaya","13770033","Talagajaya, Jawa Barat","0033","-7.4158,107.8727","",""
"1378","Outlet Munjul","13780734","Munjul, Jawa Barat","0734","-7.2488,107.8811","",""
"1379","Outlet Pasirjengkol","13790678","Pasirjengkol, Jawa Barat","0678","-7.1267,107.9903","",""
"1380","Outlet Ngamplang","13800825","Ngamplang, Jawa Barat","0825","-7.2543,107.8999","",""
"1381","Outlet Datarpasang","13810608","Datarpasang, Jawa Barat","0608","-7.5854,107.7722","",""
"1382","Outlet Cigadog Hilir","13820465","Cigadog Hilir, Jawa Barat","0465","-7.2139,108.0021","",""
"1383","Outlet Cibalieur","13830832","Cibalieur, Jawa Barat","0832","-7.6965,107.8826","",""
"1384","Outlet Ciawi","13840695","Ciawi, Jawa Barat","0695","-7.664,107.7631","",""
"1385","Outlet Salakuray","13850258","Salakuray, Jawa Barat","0258","-7.2564,107.8643","",""
"1386","Outlet Ciloa","13860792","Ciloa, Jawa Barat","0792","-7.021,108.0261","",""
"1387","Outlet Pasirjambu","13870443","Pasirjambu, Jawa Barat","0443","-7.334,107.5386","",""
"1388","Outlet Nangoh","13880073","Nangoh, Jawa Barat","0073","-7.6438,107.7226","",""
"1389","Outlet Jayabakti","13890755","Jayabakti, Jawa Barat","0755","-7.4528,107.8849","",""
"1390","Outlet Rancapanjang","13900985","Rancapanjang, Jawa Barat","0985","-7.0267,108.0059","",""
"1391","Outlet Padahurip","13910191","Padahurip, Jawa Barat","0191","-7.4133,107.9156","",""
"1392","Outlet Padasono","13920333","Padasono, Jawa Barat","0333","-7.3559,107.8034","",""
"1393","Outlet Cipeuyeum","13930685","Cipeuyeum, Jawa Barat","0685","-7.0664,108.0889","",""
"1394","Outlet Garut","13940201","Garut, Jawa Barat","0201","-7.2167,107.9","",""
"1395","Outlet Cisewu","13950826","Cisewu, Jawa Barat","0826","-7.3758,107.4975","",""
"1396","Outlet Rancapare","13960879","Rancapare, Jawa Barat","0879","-7.1568,107.9439","",""
"1397","Outlet Jati","13970115","Jati, Jawa Barat","0115","-7.1876,107.8924","",""
"1398","Outlet Jati","13980515","Jati, Jawa Barat","0515","-7.1959,107.9669","",""
"1399","Outlet Jati","13990658","Jati, Jawa Barat","0658","-7.1158,107.9118","",""
"1400","Outlet Nangkaruka","14000251","Nangkaruka, Jawa Barat","0251","-7.4331,107.6462","",""
"1401","Outlet Sarkanjut","14010149","Sarkanjut, Jawa Barat","0149","-7.109,107.9417","",""
"1402","Outlet Wanaraja","14020266","Wanaraja, Jawa Barat","0266","-7.1749,107.9808","",""
"1403","Outlet Rengganis","14030489","Rengganis, Jawa Barat","0489","-7.2127,107.8986","",""
"1404","Outlet Toblong","14040057","Toblong, Jawa Barat","0057","-7.5609,107.9192","",""
"1405","Outlet Dangiang","1405004","Dangiang, Jawa Barat","004","-7.4586,107.8762","",""
"1406","Outlet Cipeucang","14060068","Cipeucang, Jawa Barat","0068","-7.1595,108.0074","",""
"1407","Outlet Sukasari","14070821","Sukasari, Jawa Barat","0821","-7.0757,107.8947","",""
"1408","Outlet Sukasari","14080916","Sukasari, Jawa Barat","0916","-7.0686,107.9638","",""
"1409","Outlet Nagrak","14090555","Nagrak, Jawa Barat","0555","-7.446,107.5963","",""
"1410","Outlet Bojongkalapa","14100216","Bojongkalapa, Jawa Barat","0216","-7.1862,107.9557","",""
"1411","Outlet Pangrumasan","14110409","Pangrumasan, Jawa Barat","0409","-7.5661,107.8973","",""
"1412","Outlet Saar Kaler","14120877","Saar Kaler, Jawa Barat","0877","-7.0274,107.9253","",""
"1413","Outlet Sinarbakti","14130172","Sinarbakti, Jawa Barat","0172","-7.0694,107.9107","",""
"1414","Outlet Mekarasih","14140125","Mekarasih, Jawa Barat","0125","-7.0269,108.086","",""
"1415","Outlet Samanggen","1415061","Samanggen, Jawa Barat","061","-7.1679,107.9838","",""
"1416","Outlet Sadang Kulon","14160079","Sadang Kulon, Jawa Barat","0079","-7.1873,107.9736","",""
"1417","Outlet Tajurdesa","14170167","Tajurdesa, Jawa Barat","0167","-7.2045,108.0078","",""
"1418","Outlet Baros","14180302","Baros, Jawa Barat","0302","-7.0746,108.0442","",""
"1419","Outlet Ciharus","14190898","Ciharus, Jawa Barat","0898","-7.3808,107.8196","",""
"1420","Outlet Ciharus","14200908","Ciharus, Jawa Barat","0908","-7.0977,107.8773","",""
"1421","Outlet Pangauban","14210769","Pangauban, Jawa Barat","0769","-7.2634,107.7785","",""
"1422","Outlet Kandangsapi","14220226","Kandangsapi, Jawa Barat","0226","-7.314,107.8114","",""
"1423","Outlet Besarmanah","14230978","Besarmanah, Jawa Barat","0978","-7.2249,107.8918","",""
"1424","Outlet Kudang","14240983","Kudang, Jawa Barat","0983","-7.2175,107.9279","",""
"1425","Outlet Kudang","14250354","Kudang, Jawa Barat","0354","-7.0331,107.9841","",""
"1426","Outlet Malangbong","14260838","Malangbong, Jawa Barat","0838","-7.0603,108.0876","",""
"1427","Outlet Cikalaces","14270799","Cikalaces, Jawa Barat","0799","-7.4899,107.5375","",""
"1428","Outlet Pakenjeng","14280578","Pakenjeng, Jawa Barat","0578","-7.4118,107.6905","",""
"1429","Outlet Kurnia","14290047","Kurnia, Jawa Barat","0047","-7.0522,108.0363","",""
"1430","Outlet Pasirsalam","1430053","Pasirsalam, Jawa Barat","053","-7.1186,107.8954","",""
"1431","Outlet Cipaku","14310736","Cipaku, Jawa Barat","0736","-7.3707,107.7551","",""
"1432","Outlet Cibodas","1432076","Cibodas, Jawa Barat","076","-7.3626,107.8146","",""
"1433","Outlet Cibodas","14330487","Cibodas, Jawa Barat","0487","-7.0962,107.9858","",""
"1434","Outlet Cipeundeuy","14340636","Cipeundeuy, Jawa Barat","0636","-7.0769,107.8913","",""
"1435","Outlet Sawahlegok","14350566","Sawahlegok, Jawa Barat","0566","-7.2889,107.4655","",""
"1436","Outlet Indralayang","14360553","Indralayang, Jawa Barat","0553","-7.4953,107.4839","",""
"1437","Outlet Maribaya","14370827","Maribaya, Jawa Barat","0827","-7.0861,107.8764","",""
"1438","Outlet Karees","14380389","Karees, Jawa Barat","0389","-7.6511,107.8727","",""
"1439","Outlet Pangeureunan","14390835","Pangeureunan, Jawa Barat","0835","-7.1376,107.9318","",""
"1440","Outlet Puncaksari","14400693","Puncaksari, Jawa Barat","0693","-7.6395,107.7327","",""
"1441","Outlet Haurpanggung","14410247","Haurpanggung, Jawa Barat","0247","-7.2056,107.9047","",""
"1442","Outlet Ciwalen","14420622","Ciwalen, Jawa Barat","0622","-7.2155,107.9096","",""
"1443","Outlet Cikembar","14430694","Cikembar, Jawa Barat","0694","-7.3977,107.8386","",""
"1444","Outlet Bebedahan","14440389","Bebedahan, Jawa Barat","0389","-7.4127,107.6591","",""
"1445","Outlet Bebedahan","14450055","Bebedahan, Jawa Barat","0055","-7.1783,107.9804","",""
"1446","Outlet Lengkongjaya","14460926","Lengkongjaya, Jawa Barat","0926","-7.2004,107.9286","",""
"1447","Outlet Tegalgede","14470155","Tegalgede, Jawa Barat","0155","-7.4921,107.654","",""
"1448","Outlet Tegalgede","14480645","Tegalgede, Jawa Barat","0645","-7.1815,108.0016","",""
"1449","Outlet Saradan","14490104","Saradan, Jawa Barat","0104","-7.0577,107.9793","",""
"1450","Outlet Cisompet","14500776","Cisompet, Jawa Barat","0776","-7.5518,107.8103","",""
"1451","Outlet Cikajang","14510523","Cikajang, Jawa Barat","0523","-7.3578,107.8086","",""
"1452","Outlet Pasirwangi","14520168","Pasirwangi, Jawa Barat","0168","-7.4611,107.6644","",""
"1453","Outlet Situsari","14530042","Situsari, Jawa Barat","0042","-7.1904,107.9719","",""
"1454","Outlet Perum","14540248","Perum, Jawa Barat","0248","-7.17,107.8975","",""
"1455","Outlet Jager","14550696","Jager, Jawa Barat","0696","-7.177,107.9446","",""
"1456","Outlet Cijayana","14560655","Cijayana, Jawa Barat","0655","-7.5514,107.5666","",""
"1457","Outlet Simpang","14570816","Simpang, Jawa Barat","0816","-7.4737,107.6688","",""
"1458","Outlet Simpang","14580829","Simpang, Jawa Barat","0829","-7.6401,107.9066","",""
"1459","Outlet Simpang","14590588","Simpang, Jawa Barat","0588","-7.3669,107.7756","",""
"1460","Outlet Radug","14600138","Radug, Jawa Barat","0138","-7.2645,107.8425","",""
"1461","Outlet Salamnunggal","1461029","Salamnunggal, Jawa Barat","029","-7.1064,107.898","",""
"1462","Outlet Pameungpeuk","14620482","Pameungpeuk, Jawa Barat","0482","-7.6413,107.7332","",""
"1463","Outlet Karangtengah","14630604","Karangtengah, Jawa Barat","0604","-7.0744,107.8925","",""
"1464","Outlet Pasar Kulon","14640727","Pasar Kulon, Jawa Barat","0727","-7.1112,107.8967","",""
"1465","Outlet Sidangpalay","14650794","Sidangpalay, Jawa Barat","0794","-7.2091,107.9555","",""
"1466","Outlet Burujul","14660216","Burujul, Jawa Barat","0216","-7.5559,107.7178","",""
"1467","Outlet Burujul","14670199","Burujul, Jawa Barat","0199","-7.0376,107.9762","",""
"1468","Outlet Cileles","14680366","Cileles, Jawa Barat","0366","-7.0792,107.9812","",""
"1469","Outlet Cinyawar","14690063","Cinyawar, Jawa Barat","0063","-7.3325,107.9241","",""
"1470","Outlet Pasar","1470038","Pasar, Jawa Barat","038","-7.0953,108.1002","",""
"1471","Outlet Pasar","14710887","Pasar, Jawa Barat","0887","-7.1008,107.9577","",""
"1472","Outlet Jayaraga Kaler","147203","Jayaraga Kaler, Jawa Barat","03","-7.2043,107.9004","",""
"1473","Outlet Cibera","14730656","Cibera, Jawa Barat","0656","-7.6751,107.7902","",""
"1474","Outlet Saar","14740451","Saar, Jawa Barat","0451","-7.0578,108.073","",""
"1475","Outlet Karangsari","14750226","Karangsari, Jawa Barat","0226","-7.5758,107.6175","",""
"1476","Outlet Karangsari","14760413","Karangsari, Jawa Barat","0413","-7.0993,107.9342","",""
"1477","Outlet Saribakti","14770757","Saribakti, Jawa Barat","0757","-7.5341,107.9306","",""
"1478","Outlet Sukarame","14780211","Sukarame, Jawa Barat","0211","-7.4376,107.5324","",""
"1479","Outlet Bandrek","14790675","Bandrek, Jawa Barat","0675","-7.0553,108.0097","",""
"1480","Outlet Maroko","14800342","Maroko, Jawa Barat","0342","-7.635,107.8919","",""
"1481","Outlet Desakolot","14810127","Desakolot, Jawa Barat","0127","-7.2562,107.893","",""
"1482","Outlet Desakolot","14820286","Desakolot, Jawa Barat","0286","-7.3339,107.8064","",""
"1483","Outlet Kampungdesa","14830515","Kampungdesa, Jawa Barat","0515","-7.5719,107.86","",""
"1484","Outlet Sirnagalih","14840675","Sirnagalih, Jawa Barat","0675","-7.3505,107.7999","",""
"1485","Outlet Nagaracinta","14850481","Nagaracinta, Jawa Barat","0481","-7.2928,107.8143","",""
"1486","Outlet Cikalong","14860404","Cikalong, Jawa Barat","0404","-7.4963,107.6669","",""
"1487","Outlet Pasar Kidul","14870546","Pasar Kidul, Jawa Barat","0546","-7.3109,107.7936","",""
"1488","Outlet Tegalastana","14880426","Tegalastana, Jawa Barat","0426","-7.4866,107.5985","",""
"1489","Outlet Genteng","14890448","Genteng, Jawa Barat","0448","-7.2991,107.4955","",""
"1490","Outlet Nagrog Wetan","14900127","Nagrog Wetan, Jawa Barat","0127","-7.2071,107.9469","",""
"1491","Outlet Gudang","14910581","Gudang, Jawa Barat","0581","-7.307,107.7967","",""
"1492","Outlet Gudang","14920707","Gudang, Jawa Barat","0707","-7.2605,107.8547","",""
"1493","Outlet Cinunuk Girang","14930882","Cinunuk Girang, Jawa Barat","0882","-7.1787,107.9751","",""
"1494","Outlet Cikuwiwi","14940815","Cikuwiwi, Jawa Barat","0815","-7.2794,107.8936","",""
"1495","Outlet Ngompot","14950998","Ngompot, Jawa Barat","0998","-7.1733,107.9167","",""
"1496","Outlet Sukamanah","14960058","Sukamanah, Jawa Barat","0058","-7.203,107.9422","",""
"1497","Outlet Dangdeur","14970364","Dangdeur, Jawa Barat","0364","-7.2525,107.8294","",""
"1498","Outlet Pataruman","14980415","Pataruman, Jawa Barat","0415","-7.1966,107.9911","",""
"1499","Outlet Pataruman","14990992","Pataruman, Jawa Barat","0992","-7.1995,107.8931","",""
"1500","Outlet Cikuya","15000035","Cikuya, Jawa Barat","0035","-7.4604,107.5764","",""
"1501","Outlet Babakancilamo","15010058","Babakancilamo, Jawa Barat","0058","-7.074,108.0121","",""
"1502","Outlet Panunggangan","15020948","Panunggangan, Jawa Barat","0948","-7.2274,107.8874","",""
"1503","Outlet Nangoh Tonggoh","1503064","Nangoh Tonggoh, Jawa Barat","064","-7.2672,107.8478","",""
"1504","Outlet Cihuni","15040102","Cihuni, Jawa Barat","0102","-7.0709,107.8997","",""
"1505","Outlet Rancabuaya","15050062","Rancabuaya, Jawa Barat","0062","-7.5238,107.4909","",""
"1506","Outlet Neglasari","15060049","Neglasari, Jawa Barat","0049","-7.5147,107.8086","",""
"1507","Outlet Neglasari","15070381","Neglasari, Jawa Barat","0381","-7.1267,107.9951","",""
"1508","Outlet Batukarut","15080909","Batukarut, Jawa Barat","0909","-7.1366,107.9713","",""
"1509","Outlet Pasantrentengah","15090745","Pasantrentengah, Jawa Barat","0745","-7.0761,107.9675","",""
"1510","Outlet Tegallame","15100541","Tegallame, Jawa Barat","0541","-7.0381,107.9379","",""
"1511","Outlet Singajaya","15110521","Singajaya, Jawa Barat","0521","-7.4886,107.9116","",""
"1512","Outlet Cikole Hilir","15120246","Cikole Hilir, Jawa Barat","0246","-7.1679,107.9786","",""
"1513","Outlet Cidatar Kulon","15130536","Cidatar Kulon, Jawa Barat","0536","-7.3278,107.7939","",""
"1514","Outlet Taluncemara","15140918","Taluncemara, Jawa Barat","0918","-7.2196,107.9078","",""
"1515","Outlet Astana Hilir","15150105","Astana Hilir, Jawa Barat","0105","-7.2102,107.8891","",""
"1516","Outlet Banjarwangi","15160482","Banjarwangi, Jawa Barat","0482","-7.4398,107.9026","",""
"1517","Outlet Cikarang","15170361","Cikarang, Jawa Barat","0361","-7.4263,107.4533","",""
"1518","Outlet Babakandesa","15180488","Babakandesa, Jawa Barat","0488","-7.0485,107.9684","",""
"1519","Outlet Karobokan","15190371","Karobokan, Jawa Barat","0371","-7.1831,107.8797","",""
"1520","Outlet Sikluk","15200085","Sikluk, Jawa Barat","0085","-7.1258,107.9603","",""
"1521","Outlet Cihayam","15210059","Cihayam, Jawa Barat","0059","-7.0079,108.0195","",""
"1522","Outlet Cogreg Kulon","15220989","Cogreg Kulon, Jawa Barat","0989","-7.2187,107.9308","",""
"1523","Outlet Barubandung","15230424","Barubandung, Jawa Barat","0424","-7.3858,107.8307","",""
"1524","Outlet Sangojar","15240432","Sangojar, Jawa Barat","0432","-7.1667,108.0306","",""
"1525","Outlet Cigolewang","15250835","Cigolewang, Jawa Barat","0835","-7.544,107.7392","",""
"1526","Outlet Putrajawa","15260957","Putrajawa, Jawa Barat","0957","-7.0054,108.0109","",""
"1527","Outlet Ciwaru","15270333","Ciwaru, Jawa Barat","0333","-7.2946,107.7864","",""
"1528","Outlet Urug","15280417","Urug, Jawa Barat","0417","-7.2549,107.8324","",""
"1529","Outlet Pasirluhur","15290459","Pasirluhur, Jawa Barat","0459","-7.104,107.9546","",""
"1530","Outlet Cipatat","15300625","Cipatat, Jawa Barat","0625","-7.1994,107.9504","",""
"1531","Outlet Cipancar","15310043","Cipancar, Jawa Barat","0043","-7.1041,107.8899","",""
"1532","Outlet Slamanyah","15320198","Slamanyah, Jawa Barat","0198","-7.0902,107.8963","",""
"1533","Outlet Surabaya","15330449","Surabaya, Jawa Barat","0449","-7.0259,108.0209","",""
"1534","Outlet Cileungsing","15340813","Cileungsing, Jawa Barat","0813","-7.1482,107.9424","",""
"1535","Outlet Ciranca","15350172","Ciranca, Jawa Barat","0172","-7.0832,107.998","",""
"1536","Outlet Giriawas","15360044","Giriawas, Jawa Barat","0044","-7.364,107.8213","",""
"1537","Outlet Tegaljati","1537093","Tegaljati, Jawa Barat","093","-7.1949,107.9299","",""
"1538","Outlet Pasarkolot","15380749","Pasarkolot, Jawa Barat","0749","-7.0565,108.09","",""
"1539","Outlet Nangerang","15390019","Nangerang, Jawa Barat","0019","-7.2357,107.921","",""
"1540","Outlet Cipondok","1540088","Cipondok, Jawa Barat","088","-7.2388,107.942","",""
"1541","Outlet Babakansalam","15410396","Babakansalam, Jawa Barat","0396","-7.502,107.6254","",""
"1542","Outlet Cihuni Kaler","15420375","Cihuni Kaler, Jawa Barat","0375","-7.1661,107.9915","",""
"1543","Outlet Cibitung","15430835","Cibitung, Jawa Barat","0835","-7.5356,107.6864","",""
"1544","Outlet Cibitung","15440872","Cibitung, Jawa Barat","0872","-7.4831,107.9233","",""
"1545","Outlet Negla","15450053","Negla, Jawa Barat","0053","-7.2754,107.7809","",""
"1546","Outlet Tangulun","15460386","Tangulun, Jawa Barat","0386","-7.0688,107.9196","",""
"1547","Outlet Ciperang","15470554","Ciperang, Jawa Barat","0554","-7.1163,107.9246","",""
"1548","Outlet Pasirbaros","15480376","Pasirbaros, Jawa Barat","0376","-7.0763,108.0948","",""
"1549","Outlet Kalidung","15490318","Kalidung, Jawa Barat","0318","-7.1913,107.8902","",""
"1550","Outlet Barusuda","1550071","Barusuda, Jawa Barat","071","-7.3525,107.8127","",""
"1551","Outlet Babakan Baru","15510457","Babakan Baru, Jawa Barat","0457","-7.2515,107.9271","",""
"1552","Outlet Pakuwon","15520106","Pakuwon, Jawa Barat","0106","-7.2155,107.9036","",""
"1553","Outlet Cikelet","15530406","Cikelet, Jawa Barat","0406","-7.6117,107.6771","",""
"1554","Outlet Padaimut","15540091","Padaimut, Jawa Barat","0091","-7.0727,108.0258","",""
"1555","Outlet Panawuan","15550507","Panawuan, Jawa Barat","0507","-7.2147,107.8842","",""
"1556","Outlet Karangtengah","15560682","Karangtengah, Jawa Timur","0682","-8.0861,111.8232","",""
"1557","Outlet Cigadog","15570265","Cigadog, Jawa Barat","0265","-7.2825,107.9216","",""
"1558","Outlet Cilawu","15580479","Cilawu, Jawa Barat","0479","-7.2779,107.9203","",""
"1559","Outlet Kaduengang","15590153","Kaduengang, Banten","0153","-6.2598,106.0742","",""
"1560","Outlet Pancasura","15600854","Pancasura, Jawa Barat","0854","-7.4637,107.9342","",""
"1561","Outlet Sukawangi","15610747","Sukawangi, Jawa Barat","0747","-7.4709,107.9366","",""
"1562","Outlet Bendungan","15620267","Bendungan, Jawa Timur","0267","-7.1177,112.4981","",""
"1563","Outlet Bojong","15630139","Bojong, Jawa Barat","0139","-7.1164,108.4367","",""
"1564","Outlet Temanggung","1564047","Temanggung, Jawa Tengah","047","-7.3192,110.1928","",""
"1565","Outlet Bojongloa","15650764","Bojongloa, Jawa Barat","0764","-7.3199,107.9327","",""
"1566","Outlet Kranjih","15660289","Kranjih, Jawa Timur","0289","-6.9354,113.4503","",""
"1567","Outlet Pagaden","15670917","Pagaden, Jawa Barat","0917","-7.3208,108.1566","",""
"1568","Outlet Bengras","15680268","Bengras, Banten","0268","-6.2481,105.8324","",""
"1569","Outlet Kaliboto","1569073","Kaliboto, Jawa Timur","073","-8.0431,111.9799","",""
"1570","Outlet Manis Legokherang","15700845","Manis Legokherang, Jawa Barat","0845","-7.1598,108.573","",""
"1571","Outlet Lubuk Pakam","15710366","Lubuk Pakam, Sumatera Utara","0366","3.5592,98.8733","",""
"1572","Outlet Nganjuk","15720096","Nganjuk, Jawa Timur","0096","-7.6051,111.9035","",""
"1573","Outlet Selajambe","15730385","Selajambe, Jawa Barat","0385","-7.1181,108.4625","",""
"1574","Outlet Selajambe Satu","15740253","Selajambe Satu, Jawa Barat","0253","-7.1185,108.4608","",""
"1575","Outlet Tegalharjo","15750057","Tegalharjo, Jawa Tengah","0057","-6.6413,111.026","",""
"1576","Outlet Bantengan","15760454","Bantengan, Jawa Tengah","0454","-6.6597,111.0634","",""
"1577","Outlet Wungwung","15770889","Wungwung, Jawa Tengah","0889","-6.8,111.2214","",""
"1578","Outlet Kedungbang","1578082","Kedungbang, Jawa Tengah","082","-6.5428,111.0202","",""
"1579","Outlet Dopang","15790315","Dopang, Jawa Tengah","0315","-6.8266,111.1348","",""
"1580","Outlet Krajan Kedungsari","15800317","Krajan Kedungsari, Jawa Tengah","0317","-6.5734,111.04","",""
"1581","Outlet Lengkong","1581073","Lengkong, Jawa Tengah","073","-6.7089,111.2145","",""
"1582","Outlet Kalangan","15820672","Kalangan, Jawa Tengah","0672","-6.7054,111.1065","",""
"1583","Outlet Balong","15830995","Balong, Jawa Tengah","0995","-6.8381,111.1714","",""
"1584","Outlet Blingi","15840581","Blingi, Jawa Tengah","0581","-6.7739,111.1855","",""
"1585","Outlet Sentul","15850304","Sentul, Jawa Tengah","0304","-6.7888,111.1647","",""
"1586","Outlet Kampunganyar","15860239","Kampunganyar, Jawa Tengah","0239","-6.5507,111.0507","",""
"1587","Outlet Pulorejo","15870087","Pulorejo, Jawa Tengah","0087","-6.7216,111.1473","",""
"1588","Outlet Bendar","15880789","Bendar, Jawa Tengah","0789","-6.7094,111.1559","",""
"1589","Outlet Margoyoso","15890226","Margoyoso, Jawa Tengah","0226","-6.593,111.0652","",""
"1590","Outlet Babatan","15900468","Babatan, Jawa Tengah","0468","-6.611,111.0542","",""
"1591","Outlet Belah Lor","15910396","Belah Lor, Jawa Tengah","0396","-6.5371,111.0538","",""
"1592","Outlet Ketip","15920862","Ketip, Jawa Tengah","0862","-6.7323,111.1665","",""
"1593","Outlet Rejoso","15930657","Rejoso, Jawa Tengah","0657","-6.6586,111.07","",""
"1594","Outlet Lambangan","15940053","Lambangan, Jawa Tengah","0053","-6.7479,111.0679","",""
"1595","Outlet Padas","15950348","Padas, Jawa Tengah","0348","-6.8613,111.176","",""
"1596","Outlet Malangan","1596035","Malangan, Jawa Tengah","035","-6.8033,111.1341","",""
